concept_1,concept_2
action recognition,image classification
activation function,logistic activation
activation function,nonlinear transformation
activation function,sigmoid activation
activation function,softmax
active learning,reinforcement learning
active learning,supervised learning
adjacency,adjacency matrix
adjacency,adjacency matrix generation
adjacency matrix,adjacency matrix generation
adjacency matrix,degree matrix
adjacency matrix,edge feature matrix
adjacency matrix,embedding matrix
adjacency matrix,feature matrix
adjacency matrix,fixed adjacency matrix
adjacency matrix,graph convolutional network
adjacency matrix,graph structure
adjacency matrix,graph structure encoding
adjacency matrix,graph topology
adjacency matrix,incidence matrix
adjacency matrix,permutation matrix
adjacency matrix,symmetric matrix
adjacency matrix generation,edge feature generation
adjacency matrix generation,graph feature generation
adjacency matrix generation,node feature generation
adjacent,connected nodes
adversarial training,graph generative adversarial network
aggregation function,injective aggregation
aggregation function,max aggregator
aggregation function,mean aggregator
aggregation function,message passing
annotated graph,heterogeneous graph
annotated graph,knowledge graph
argmax,output scores
argmax,softmax
associativity,non-commutativity
associativity,operation order
associativity,permutation invariance
attention,attention mechanism
attention,graph attention
attention masking,attention mechanism
attention masking,softmax normalization
attention mechanism,graph attention network
attention mechanism,graph transformer
average pooling,global max pooling
average pooling,global mean pooling
average pooling,global pooling
average pooling,global sum pooling
average pooling,graph pooling
average pooling,hierarchical pooling
average pooling,mean aggregator
backpropagation,backward pass
backpropagation,chain rule
backpropagation,forward pass
backpropagation,gradient descent
backpropagation,parameter update
backward pass,chain rule
backward pass,forward pass
backward pass,gradient descent
backward pass,parameter update
batch gradient descent,batching
batch gradient descent,full dataset usage
batch gradient descent,mini-batch gradient descent
batch gradient descent,stochastic gradient descent
batch nodes,batching
batch normalization,embedding normalization
batch normalization,kipf normalization
batch normalization,layer-wise normalization
batch normalization,overfitting
batch normalization,regularization
batch normalization,softmax normalization
batching,epoch
batching,mini-batch gradient descent
batching,mini-batch size
batching,mini-batch subgraph
betweenness centrality,degree centrality
betweenness centrality,eigenvector centrality
betweenness centrality,node centrality measures
bias,weights
bijection,permutation
binary classification,binary classification task
binary classification,classification
binary classification,cross-entropy
binary classification,graph classification
binary classification,logistic activation
binary classification,node classification
binary classification task,node classification
binary graph,unweighted graph
binary graph,weighted graph
bipartite graph,directed graph
bipartite graph,heterogeneous graph
brain graph evolution prediction,graph super-resolution
brain graph evolution prediction,time-dependent gnn
chain rule,gradient descent
chain rule,parameter update
circuit graph,program flow graph
citation network,knowledge graph
citation network,social network
classification,clustering
classification,graph classification
classification,graph generation
classification,image classification
classification,machine learning
classification,node classification
classification,regression
classifier,multilayer perceptron
close/similar pairs,connected nodes
close/similar pairs,similarity function
clustering,graph clustering
clustering,graph generation
clustering,k-means clustering
clustering,node clustering
clustering,regression
coarsened graph,graph unet
coarsened graph,hierarchical graph
coarsened graph,hierarchical pooling
coarsened graph,induced subgraph
coarsened graph,proper subgraph
coarsened graph,spanning subgraph
coarsened graph,subgraph
collectivist points,reductionist assumption
complete graph,simple graph
composed feature transformation,feature transformation
composed feature transformation,final transformation
composed feature transformation,nonlinear transformation
computation graph,computational graph
computation graph,directed acyclic graph
computation graph,graph structure
computation graph,node embedding computation graph
computation graph,program flow graph
computation graph,receptive field
computational efficiency,exponential time complexity
computational efficiency,gpu acceleration
computational efficiency,graph efficiency
computational efficiency,memory usage
computational efficiency,scalability
conditional generation,unconditional generation
constrained embedding,fixed prior
constrained embedding,node embedding
contrastive learning,self-supervised learning
convergence,stability
core-periphery structure,highly connected core structure
core-periphery structure,star-like graphs
covariance matrix,eigen decomposition
covariance matrix,principal component analysis
covariance matrix,standard deviation
covariance matrix,variance
covariate shift,sampling bias
cross-entropy,kl divergence
cross-entropy,l2 loss
cross-entropy,mean absolute error
cross-entropy,mean squared error
cross-entropy,reconstruction loss
cross-entropy,softmax
dag-to-dag,directed acyclic graph
dag-to-dag,graph generation
dag-to-dag,sequential generating
decoder,encoder
decoder,generator network
decoder,latent space
deep learning,deep non-negative matrix factorization
deep learning,deep sequential learning
deep learning,graph neural network
deep learning,machine learning
deep network function,network mapping function
deep network function,network output function
deep neural network,graph neural network
deep neural network,multilayer perceptron
deep non-negative matrix factorization,matrix factorization
