concept_id,concept,aliases,slide_snippets,embedding_source,embedding_token
0,activation function,activation function,"[""model representation i neural networks representation In this video, I want to start telling you about how we represent neural networks. In other words, how we represent our hypothesis or how we represent our model when using neural networks. Neural networks were developed as simulating neurons or networks of neurons in the brain. So, to explain the hypothesis representation let's start by looking at what a single neuron in the brain looks like. Your brain and mine is jam packed full of neurons "", ""model representation ii neural networks representation In the last video, we gave a mathematical definition of how to represent or how to compute the hypotheses used by Neural Network. In this video, I like show you how to actually carry out that computation efficiently, and that is show you a vector rise implementation. And second, and more importantly, I want to start giving you intuition about why these neural network representations might be a good idea and how they can help us to learn comp"", ""examples and intuitions i neural networks representation In this and the next video I want to work through a detailed example showing how a neural network can compute a complex non linear function of the input. And hopefully this will give you a good sense of why neural networks can be used to learn complex non linear hypotheses. Consider the following problem where we have features X1 and X2 that are binary values. So, either 0 or 1. So, X1 and X2 can each take on only one of two possible value""]",canonical_phrase,__phrase__activation_function
1,activation values,activation values,"[""model representation ii neural networks representation In the last video, we gave a mathematical definition of how to represent or how to compute the hypotheses used by Neural Network. In this video, I like show you how to actually carry out that computation efficiently, and that is show you a vector rise implementation. And second, and more importantly, I want to start giving you intuition about why these neural network representations might be a good idea and how they can help us to learn comp"", ""backpropagation algorithm neural networks learning In the previous video, we talked about a cost function for the neural network. In this video, let's start to talk about an algorithm, for trying to minimize the cost function. In particular, we'll talk about the back propagation algorithm. Here's the cost function that we wrote down in the previous video. What we'd like to do is try to find parameters theta to try to minimize j of theta. In order to use either gradient descent or one of the adva"", ""backpropagation intuition neural networks learning In the previous video, we talked about the backpropagation algorithm. To a lot of people seeing it for the first time, their first impression is often that wow this is a really complicated algorithm, and there are all these different steps, and I'm not sure how they fit together. And it's kinda this black box of all these complicated steps. In case that's how you're feeling about backpropagation, that's actually okay. Backpropagation maybe unfor""]",canonical_phrase,__phrase__activation_values
2,adaboost,adaboost,"[""outline of second half of course welcome [MUSIC] From here we're going to explore one of the most fundamental things that happens in practice with data, the issue of missing data. So here I have a dataset, but unlike what we've done so far in this course in specialization, we assume that all data is observed. But here if you look at the second row, you have a question mark for that person. You don't know if the loan they took was a three-year loan or a five-year loan. So what do we do when we ha"", ""adaboost overview boosting [MUSIC] In this module we're going to talk about the specific boosting algorithm called AdaBoost. AdaBoost is one of the early machine learning algorithms for boosting. It's extremely useful. It's very simple to implement. And it's quite effective. There are others. I'll mention another interesting one towards the end of the module but let's start with AdaBoost. This is the famous AdaBoost algorithm, which was created by Freund and Schapire in 1999, amazing useful algo"", ""computing coefficient of each ensemble component boosting [MUSIC] AdaBoost uses this slightly intimidating formula to figure out what w hat t should be, but it has to be pretty intuitive if you look at it in a bit more detail. This formula is derived from a famous theorem, AdaBoost theorem, which I want to mention very briefly towards the end of the module. But it's the formula that lets you find classifiers that keep getting better and better, and help boosting to get to the optimal solution. S""]",canonical_phrase,__phrase__adaboost
3,agglomerative clustering,agglomerative clustering,"[""why hierarchical clustering hierarchical clustering closing remarks [MUSIC] Even though we plowed through just a ton of material as we just reviewed in the recap of past modules, I wanted to spend some time discussing another really popular form of clustering called hierarchical clustering. But before we delve into the specifics of hierarchical clustering, let's spend a little bit of time motivating why one might want to use hierarchical clustering. And one is because it allows us to avoid that "", ""agglomerative clustering hierarchical clustering closing remarks [MUSIC] Having overviewed divisive clustering, let's now spend some time digging into agglomerative clustering. And to do this, we're going to look at one specific example called single linkage, which is a really common application of agglomerative clustering. And here, we start with every data point in its own cluster, and that's actually common to all agglomerative clustering approaches, not just single linkage. But then we have "", ""the dendrogram hierarchical clustering closing remarks [MUSIC] So one way to compactly represent the results of hierarchical equestrian are through something called a dendrogram. And we're going to explain the dendrogram in the context of agglomerative clustering, even though this type of representation can be used for other hierarchical equestrian approaches as well. So the dendrogram representation is as follows. Along the x axis, we're going to place each one of our data points, but carefully""]",canonical_phrase,__phrase__agglomerative_clustering
4,anomalous example,anomalous example::;anomalous examples,"[""problem motivation anomaly detection In this next set of videos, I'd like to tell you about a problem called Anomaly Detection. This is a reasonably commonly use you type machine learning. And one of the interesting aspects is that it's mainly for unsupervised problem, that there's some aspects of it that are also very similar to sort of the supervised learning problem. So, what is anomaly detection? To explain it. Let me use the motivating example of: Imagine that you're a manufacturer of aircr"", ""algorithm anomaly detection In the last video, we talked about the Gaussian distribution. In this video lets apply that to develop an anomaly detection algorithm. Let's say that we have an unlabeled training set of M examples, and each of these examples is going to be a feature in Rn so your training set could be, feature vectors from the last M aircraft engines being manufactured. Or it could be features from m users or something else. The way we are going to address anomaly detection, is we ar"", ""developing and evaluating an anomaly detection system anomaly detection In the last video, we developed an anomaly detection algorithm. In this video, I like to talk about the process of how to go about developing a specific application of anomaly detection to a problem and in particular this will focus on the problem of how to evaluate an anomaly detection algorithm. In previous videos, we've already talked about the importance of real number evaluation and this captures the idea that when you'""]",canonical_phrase,__phrase__anomalous_example
5,anomaly detection,anomaly detection,"[""problem motivation anomaly detection In this next set of videos, I'd like to tell you about a problem called Anomaly Detection. This is a reasonably commonly use you type machine learning. And one of the interesting aspects is that it's mainly for unsupervised problem, that there's some aspects of it that are also very similar to sort of the supervised learning problem. So, what is anomaly detection? To explain it. Let me use the motivating example of: Imagine that you're a manufacturer of aircr"", ""gaussian distribution anomaly detection In this video, I'd like to talk about the Gaussian distribution which is also called the normal distribution. In case you're already intimately familiar with the Gaussian distribution, it's probably okay to skip this video, but if you're not sure or if it has been a while since you've worked with the Gaussian distribution or normal distribution then please do watch this video all the way to the end. And in the video after this we'll start applying the Gaus"", ""algorithm anomaly detection In the last video, we talked about the Gaussian distribution. In this video lets apply that to develop an anomaly detection algorithm. Let's say that we have an unlabeled training set of M examples, and each of these examples is going to be a feature in Rn so your training set could be, feature vectors from the last M aircraft engines being manufactured. Or it could be features from m users or something else. The way we are going to address anomaly detection, is we ar""]",canonical_phrase,__phrase__anomaly_detection
6,back prop,back prop::;back propagation,"[""backpropagation algorithm neural networks learning In the previous video, we talked about a cost function for the neural network. In this video, let's start to talk about an algorithm, for trying to minimize the cost function. In particular, we'll talk about the back propagation algorithm. Here's the cost function that we wrote down in the previous video. What we'd like to do is try to find parameters theta to try to minimize j of theta. In order to use either gradient descent or one of the adva"", ""backpropagation intuition neural networks learning In the previous video, we talked about the backpropagation algorithm. To a lot of people seeing it for the first time, their first impression is often that wow this is a really complicated algorithm, and there are all these different steps, and I'm not sure how they fit together. And it's kinda this black box of all these complicated steps. In case that's how you're feeling about backpropagation, that's actually okay. Backpropagation maybe unfor"", ""implementation note unrolling parameters neural networks learning In the previous video, we talked about how to use back propagation to compute the derivatives of your cost function. In this video, I want to quickly tell you about one implementational detail of unrolling your parameters from matrices into vectors, which we need in order to use the advanced optimization routines. Concretely, let's say you've implemented a cost function that takes this input, you know, parameters theta and returns""]",canonical_phrase,__phrase__back_prop
7,batch gradient descent,batch gradient descent,"[""gradient descent for linear regression linear regression with one variable In previous videos, we talked about the gradient descent algorithm and we talked about the linear regression model and the squared error cost function. In this video we're gonna put together gradient descent with our cost function, and that will give us an algorithm for linear regression or putting a straight line to our data. So this was what we worked out in the previous videos. This gradient descent algorithm which you"", ""stochastic gradient descent large scale machine learning For many learning algorithms, among them linear regression, logistic regression and neural networks, the way we derive the algorithm was by coming up with a cost function or coming up with an optimization objective. And then using an algorithm like gradient descent to minimize that cost function. We have a very large training set gradient descent becomes a computationally very expensive procedure. In this video, we'll talk about a modifica"", ""mini batch gradient descent large scale machine learning In the previous video, we talked about Stochastic gradient descent, and how that can be much faster than Batch gradient descent. In this video, let's talk about another variation on these ideas is called Mini-batch gradient descent they can work sometimes even a bit faster than stochastic gradient descent. To summarize the algorithms we talked about so far. In Batch gradient descent we will use all m examples in each generation. Whereas in""]",canonical_phrase,__phrase__batch_gradient_descent
8,bayesian approach,bayesian approach,"[""convergence initialization and overfitting of em mixture models Let's now spend some time getting into the nitty gritty details of And also provide a comparison between For mixtures of calciums and K-mines. Well, to begin with, we talked about the converge solution of In the series of pie chart plots that we just showed. Well, the question is do we know that the Algorithm is going to converge? Well, you can actually recast the E and M steps of the Algorithm as alternating maximization of an obje"", ""the need for bayesian inference mixed membership modeling via latent dirichlet allocation [MUSIC] Let's now describe a specific algorithm we can use for entrance in our LDA model. An algorithm we're going to cover is called Gibbs sampling. Recall that for the clustering task, we focused on two different algorithms. One was k-means which iterated between the following steps where we're making hard assignments of datapoints to clusters. And we said that we can view k-means as a coordinate descent ""]",canonical_phrase,__phrase__bayesian_approach
9,bayesian inference,bayesian inference,"[""course overview welcome [MUSIC] This course is going to follow the same philosophy as our past courses. In particular, we're going to use case studies to motivate the key concepts that we're going to teach. But there are a number of other key features that define the way we teach our courses in this specialization. In particular, we teach a set of core machine learning concepts and we do so both through our case studies as well as using visual aids to very dramatically guide the process. And the"", ""the need for bayesian inference mixed membership modeling via latent dirichlet allocation [MUSIC] Let's now describe a specific algorithm we can use for entrance in our LDA model. An algorithm we're going to cover is called Gibbs sampling. Recall that for the clustering task, we focused on two different algorithms. One was k-means which iterated between the following steps where we're making hard assignments of datapoints to clusters. And we said that we can view k-means as a coordinate descent "", ""gibbs sampling from 10 000 feet mixed membership modeling via latent dirichlet allocation [MUSIC] But, as an alternative, we can perform Bayesian inference using a totally different algorithm called Gibbs sampling. And in Gibbs sampling, we're going to iteratively provide hard assignments just like we did in k-means, but these hard assignments are going to be drawn randomly from a specific distribution, whereas remembering k-means, we just solved an equation and got a solution. But the point her""]",canonical_phrase,__phrase__bayesian_inference
