source_id,target_id,source,target,weight
0,12,anaphora resolution,semantic role labeling,0.5799505710601807
0,14,anaphora resolution,coreference and coreference resolution,0.8241605758666992
0,31,anaphora resolution,dependency parsing,0.5966433882713318
0,34,anaphora resolution,relation extraction,0.6414359211921692
0,37,anaphora resolution,named entity recognition,0.6745355725288391
0,49,anaphora resolution,word sense disambiguation,0.6006253957748413
0,50,anaphora resolution,part of speech tagging,0.5873582363128662
0,57,anaphora resolution,discourse model,0.6433990001678467
0,58,anaphora resolution,morphological disambiguation,0.5761388540267944
0,64,anaphora resolution,shallow parsing,0.5905848741531372
0,120,anaphora resolution,textual entailment,0.58033686876297
0,138,anaphora resolution,paraphrasing,0.5725279450416565
1,3,generative adversarial networks,variational autoencoders,0.7409931421279907
1,23,generative adversarial networks,dqn,0.5288670659065247
1,48,generative adversarial networks,deep belief networks,0.5791865587234497
1,56,generative adversarial networks,variational bayes,0.535815954208374
1,80,generative adversarial networks,boltzmann machine,0.5360255241394043
1,96,generative adversarial networks,cnn's,0.5182026624679565
1,130,generative adversarial networks,speech synthesis,0.48315542936325073
1,159,generative adversarial networks,imagenet,0.5362598896026611
1,167,generative adversarial networks,feature learning,0.49149268865585327
1,195,generative adversarial networks,highway networks,0.5182614326477051
2,4,neural machine translation,ibm translation models,0.6969119906425476
2,5,neural machine translation,bleu,0.6015802025794983
2,9,neural machine translation,sentence simplification,0.5869157910346985
2,10,neural machine translation,attention models,0.610774040222168
2,15,neural machine translation,machine reading comprehension,0.605495810508728
2,20,neural machine translation,capsule networks,0.473612904548645
2,36,neural machine translation,language modeling,0.7625661492347717
2,44,neural machine translation,language identification,0.6020824909210205
2,54,neural machine translation,recursive neural network,0.5819346904754639
2,61,neural machine translation,neural turing machine,0.6168801784515381
2,66,neural machine translation,transliteration,0.7031737565994263
2,68,neural machine translation,chat bots,0.5039976835250854
2,70,neural machine translation,multi-task learning,0.48480772972106934
2,71,neural machine translation,multilingual word,0.6370797157287598
2,84,neural machine translation,natural language generation,0.6711041927337646
2,95,neural machine translation,word2vec,0.559358537197113
2,101,neural machine translation,speech recognition,0.5778961181640625
2,127,neural machine translation,backpropagation through time,0.5343389511108398
2,130,neural machine translation,speech synthesis,0.526196300983429
2,131,neural machine translation,caption generation,0.5937397480010986
2,148,neural machine translation,statistical machine translation,0.7974645495414734
2,178,neural machine translation,bidirectional recurrent neural networks,0.6352599263191223
2,182,neural machine translation,character level language models,0.6928898096084595
2,184,neural machine translation,smoothing and backoff,0.5256376266479492
2,189,neural machine translation,pointer networks,0.5521283149719238
2,191,neural machine translation,seq2seq,0.7113494277000427
2,197,neural machine translation,multi-modal learning,0.4707101583480835
3,20,variational autoencoders,capsule networks,0.4781394302845001
3,36,variational autoencoders,language modeling,0.4936637580394745
3,48,variational autoencoders,deep belief networks,0.6636608242988586
3,56,variational autoencoders,variational bayes,0.786911129951477
3,80,variational autoencoders,boltzmann machine,0.5607963800430298
3,163,variational autoencoders,t-sne,0.4921334981918335
3,167,variational autoencoders,feature learning,0.5727601051330566
3,168,variational autoencoders,normalization,0.49416786432266235
3,195,variational autoencoders,highway networks,0.48077166080474854
4,5,ibm translation models,bleu,0.5639802813529968
4,36,ibm translation models,language modeling,0.5890287756919861
4,44,ibm translation models,language identification,0.5313642024993896
4,58,ibm translation models,morphological disambiguation,0.5274713635444641
4,66,ibm translation models,transliteration,0.6598123908042908
4,71,ibm translation models,multilingual word,0.6110137701034546
4,144,ibm translation models,spelling correction,0.5294771790504456
4,148,ibm translation models,statistical machine translation,0.8355203866958618
4,150,ibm translation models,edit distance,0.46042561531066895
4,182,ibm translation models,character level language models,0.5485948324203491
4,184,ibm translation models,smoothing and backoff,0.5193269848823547
5,6,bleu,rouge,0.8112887740135193
5,7,bleu,scientific article summarization,0.5768356919288635
5,9,bleu,sentence simplification,0.6458419561386108
5,36,bleu,language modeling,0.5665569305419922
5,52,bleu,automatic summarization,0.6188653707504272
5,55,bleu,multi-document summarization,0.5889317989349365
5,72,bleu,evaluation metrics,0.4851187467575073
5,84,bleu,natural language generation,0.6037440896034241
5,138,bleu,paraphrasing,0.5711137652397156
5,148,bleu,statistical machine translation,0.5857855081558228
5,150,bleu,edit distance,0.43879780173301697
6,7,rouge,scientific article summarization,0.6452603340148926
6,9,rouge,sentence simplification,0.6346575617790222
6,36,rouge,language modeling,0.5129420757293701
6,52,rouge,automatic summarization,0.7429022192955017
6,55,rouge,multi-document summarization,0.6732113361358643
6,57,rouge,discourse model,0.5737684965133667
6,84,rouge,natural language generation,0.6082468032836914
6,138,rouge,paraphrasing,0.5941519737243652
6,191,rouge,seq2seq,0.5196785926818848
7,9,scientific article summarization,sentence simplification,0.6784771084785461
7,41,scientific article summarization,automated essay scoring,0.48429906368255615
7,52,scientific article summarization,automatic summarization,0.7856559157371521
7,55,scientific article summarization,multi-document summarization,0.7219268679618835
7,57,scientific article summarization,discourse model,0.5731284618377686
7,94,scientific article summarization,topic modeling,0.5180962085723877
7,138,scientific article summarization,paraphrasing,0.5513805150985718
7,180,scientific article summarization,bio text mining,0.6293773651123047
7,187,scientific article summarization,citation networks,0.5828872919082642
7,190,scientific article summarization,document representation,0.5494771003723145
8,27,open information extraction,semantic parsing,0.6452141404151917
8,31,open information extraction,dependency parsing,0.5892053842544556
8,34,open information extraction,relation extraction,0.7989411354064941
8,35,open information extraction,event detection,0.6126400232315063
8,37,open information extraction,named entity recognition,0.6983104944229126
8,50,open information extraction,part of speech tagging,0.5723153352737427
8,51,open information extraction,question answering,0.5661709308624268
8,64,open information extraction,shallow parsing,0.6293962001800537
8,83,open information extraction,first-order logic,0.5061486959457397
8,120,open information extraction,textual entailment,0.575546145439148
8,136,open information extraction,natural language interfaces,0.6042625308036804
8,180,open information extraction,bio text mining,0.5263766050338745
9,39,sentence simplification,sentence boundary recognition,0.5673633813858032
9,41,sentence simplification,automated essay scoring,0.46724605560302734
9,52,sentence simplification,automatic summarization,0.7258960604667664
9,55,sentence simplification,multi-document summarization,0.6172271370887756
9,57,sentence simplification,discourse model,0.5719959735870361
9,84,sentence simplification,natural language generation,0.6339080929756165
9,128,sentence simplification,grammar checker,0.56033855676651
9,131,sentence simplification,caption generation,0.5337891578674316
9,138,sentence simplification,paraphrasing,0.6971509456634521
9,144,sentence simplification,spelling correction,0.5447835922241211
9,148,sentence simplification,statistical machine translation,0.592764675617218
9,191,sentence simplification,seq2seq,0.5742170810699463
10,15,attention models,machine reading comprehension,0.6020724773406982
10,36,attention models,language modeling,0.5677688717842102
10,51,attention models,question answering,0.582657516002655
10,61,attention models,neural turing machine,0.6150704622268677
10,124,attention models,matrix multiplication,0.47890323400497437
10,134,attention models,long short-term memory networks,0.5622341632843018
10,146,attention models,gated recurrent units,0.5429527163505554
10,178,attention models,bidirectional recurrent neural networks,0.5740574598312378
10,189,attention models,pointer networks,0.6777136325836182
10,191,attention models,seq2seq,0.6206269860267639
11,13,knowledge graph,abstract meaning representation,0.5166053771972656
11,34,knowledge graph,relation extraction,0.6019558906555176
11,83,knowledge graph,first-order logic,0.5456427335739136
11,97,knowledge graph,knowledge representation,0.8448517918586731
11,107,knowledge graph,expert systems,0.4979419708251953
11,112,knowledge graph,graphical models,0.5147500038146973
11,135,knowledge graph,wordnet,0.5534420609474182
11,173,knowledge graph,network theory,0.5978416204452515
11,181,knowledge graph,collaborative filtering,0.44761013984680176
11,186,knowledge graph,crawling the web,0.476229190826416
11,187,knowledge graph,citation networks,0.5009521245956421
11,193,knowledge graph,graph convolutional networks,0.6081586480140686
11,203,knowledge graph,graph theory,0.6968889236450195
11,204,knowledge graph,relational databases,0.5208119750022888
12,13,semantic role labeling,abstract meaning representation,0.5620169639587402
12,27,semantic role labeling,semantic parsing,0.6481272578239441
12,31,semantic role labeling,dependency parsing,0.6744456887245178
12,34,semantic role labeling,relation extraction,0.6075925230979919
12,35,semantic role labeling,event detection,0.6396611928939819
12,37,semantic role labeling,named entity recognition,0.6458228826522827
12,49,semantic role labeling,word sense disambiguation,0.6050359606742859
12,50,semantic role labeling,part of speech tagging,0.6521029472351074
12,53,semantic role labeling,supertagging,0.6337723135948181
12,64,semantic role labeling,shallow parsing,0.6386978626251221
12,149,semantic role labeling,compositional semantics,0.5268515348434448
12,180,semantic role labeling,bio text mining,0.4894310534000397
13,27,abstract meaning representation,semantic parsing,0.6247618198394775
13,49,abstract meaning representation,word sense disambiguation,0.5625535845756531
