concept_id,concept,aliases,slide_snippets,embedding_source,embedding_token,embedding_model
0,activation function,activation function,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
1,activation values,activation values,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
2,adaboost,adaboost,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
3,agglomerative clustering,agglomerative clustering,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
4,anomalous example,anomalous example::;anomalous examples,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati"", ""model parameters . model selection . multi-class classification multiclass classification . multivariate gaussian distribution . multivariate gaussian model . nearest neighbor search . nearest neighbors nearest neighbour . negative example negative examples . neural network neural networks . neural network learning . non-anomalous examples . nonlinear hypotheses . normal equation . normalized features . normalized representation . matrix matrices . ocr problem . online learning . optimal solutio""]",bert,,sentence-transformers/all-mpnet-base-v2
5,anomaly detection,anomaly detection,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
6,back prop,back prop::;back propagation,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
7,batch gradient descent,batch gradient descent,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati"", ""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
8,bayesian approach,bayesian approach,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
9,bayesian inference,bayesian inference,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
