source_id,target_id,source_index,target_index,source,target,label,split,negative_type,similarity
0,14,0,14,anaphora resolution,coreference and coreference resolution,1,gold_all,none,0.8241605758666992
0,49,0,49,anaphora resolution,word sense disambiguation,1,gold_all,none,0.6006253957748413
0,57,0,57,anaphora resolution,discourse model,1,gold_all,none,0.6433990001678467
2,5,2,5,neural machine translation,bleu,1,gold_all,none,0.6015802025794983
2,6,2,6,neural machine translation,rouge,1,gold_all,none,0.46300971508026123
4,2,4,2,ibm translation models,neural machine translation,1,gold_all,none,0.6969119906425476
4,5,4,5,ibm translation models,bleu,1,gold_all,none,0.5639802813529968
4,6,4,6,ibm translation models,rouge,1,gold_all,none,0.4429081082344055
5,2,5,2,bleu,neural machine translation,1,gold_all,none,0.6015802025794983
5,4,5,4,bleu,ibm translation models,1,gold_all,none,0.5639802813529968
5,6,5,6,bleu,rouge,1,gold_all,none,0.8112887740135193
5,7,5,7,bleu,scientific article summarization,1,gold_all,none,0.5768356919288635
5,52,5,52,bleu,automatic summarization,1,gold_all,none,0.6188653707504272
6,2,6,2,rouge,neural machine translation,1,gold_all,none,0.46300971508026123
6,4,6,4,rouge,ibm translation models,1,gold_all,none,0.4429081082344055
6,5,6,5,rouge,bleu,1,gold_all,none,0.8112887740135193
6,7,6,7,rouge,scientific article summarization,1,gold_all,none,0.6452603340148926
6,52,6,52,rouge,automatic summarization,1,gold_all,none,0.7429022192955017
8,180,8,180,open information extraction,bio text mining,1,gold_all,none,0.5263766050338745
8,186,8,186,open information extraction,crawling the web,1,gold_all,none,0.3988170027732849
11,97,11,97,knowledge graph,knowledge representation,1,gold_all,none,0.8448517918586731
11,107,11,107,knowledge graph,expert systems,1,gold_all,none,0.4979419708251953
14,57,14,57,coreference and coreference resolution,discourse model,1,gold_all,none,0.6293729543685913
16,0,16,0,context free grammar,anaphora resolution,1,gold_all,none,0.29718896746635437
16,30,16,30,context free grammar,penn treebank,1,gold_all,none,0.500529408454895
16,32,16,32,context free grammar,tree adjoining grammar,1,gold_all,none,0.6549135446548462
16,33,16,33,context free grammar,combinatory categorial grammar,1,gold_all,none,0.6050232648849487
16,53,16,53,context free grammar,supertagging,1,gold_all,none,0.39444249868392944
16,115,16,115,context free grammar,earley parsing,1,gold_all,none,0.6227481365203857
16,129,16,129,context free grammar,shift-reduce parsing,1,gold_all,none,0.5890196561813354
16,137,16,137,context free grammar,probabilistic context-free grammars,1,gold_all,none,0.7139506340026855
16,149,16,149,context free grammar,compositional semantics,1,gold_all,none,0.42203402519226074
17,0,17,0,context sensitive grammar,anaphora resolution,1,gold_all,none,0.3523153066635132
17,32,17,32,context sensitive grammar,tree adjoining grammar,1,gold_all,none,0.6205967664718628
17,33,17,33,context sensitive grammar,combinatory categorial grammar,1,gold_all,none,0.6061522960662842
17,53,17,53,context sensitive grammar,supertagging,1,gold_all,none,0.41135793924331665
17,149,17,149,context sensitive grammar,compositional semantics,1,gold_all,none,0.42953988909721375
18,19,18,19,domain adaptation,transfer learning,1,gold_all,none,0.7816838622093201
18,60,18,60,domain adaptation,one-shot learning,1,gold_all,none,0.4578350782394409
19,18,19,18,transfer learning,domain adaptation,1,gold_all,none,0.7816838622093201
19,60,19,60,transfer learning,one-shot learning,1,gold_all,none,0.5502827763557434
21,22,21,22,reinforcement learning,q learning,1,gold_all,none,0.8296893239021301
21,23,21,23,reinforcement learning,dqn,1,gold_all,none,0.7356239557266235
21,185,21,185,reinforcement learning,policy gradient methods,1,gold_all,none,0.7949461936950684
22,23,22,23,q learning,dqn,1,gold_all,none,0.8114122748374939
22,185,22,185,q learning,policy gradient methods,1,gold_all,none,0.7101807594299316
24,1,24,1,backpropagation,generative adversarial networks,1,gold_all,none,0.450827419757843
24,2,24,2,backpropagation,neural machine translation,1,gold_all,none,0.49965497851371765
24,3,24,3,backpropagation,variational autoencoders,1,gold_all,none,0.4420890808105469
24,20,24,20,backpropagation,capsule networks,1,gold_all,none,0.42162078619003296
24,54,24,54,backpropagation,recursive neural network,1,gold_all,none,0.4924499988555908
24,61,24,61,backpropagation,neural turing machine,1,gold_all,none,0.49371790885925293
24,71,24,71,backpropagation,multilingual word,1,gold_all,none,0.27012744545936584
24,86,24,86,backpropagation,perceptrons algorithm,1,gold_all,none,0.5918395519256592
24,95,24,95,backpropagation,word2vec,1,gold_all,none,0.2886851727962494
24,96,24,96,backpropagation,cnn's,1,gold_all,none,0.4370225667953491
24,127,24,127,backpropagation,backpropagation through time,1,gold_all,none,0.7429684400558472
24,134,24,134,backpropagation,long short-term memory networks,1,gold_all,none,0.4912339448928833
24,146,24,146,backpropagation,gated recurrent units,1,gold_all,none,0.4761675000190735
24,154,24,154,backpropagation,artificial neural network,1,gold_all,none,0.6911481618881226
24,178,24,178,backpropagation,bidirectional recurrent neural networks,1,gold_all,none,0.4934406876564026
24,191,24,191,backpropagation,seq2seq,1,gold_all,none,0.3706560730934143
24,195,24,195,backpropagation,highway networks,1,gold_all,none,0.5248534679412842
25,2,25,2,word embedding,neural machine translation,1,gold_all,none,0.5556062459945679
25,95,25,95,word embedding,word2vec,1,gold_all,none,0.7830521464347839
25,189,25,189,word embedding,pointer networks,1,gold_all,none,0.4162384569644928
25,191,25,191,word embedding,seq2seq,1,gold_all,none,0.458344042301178
27,128,27,128,semantic parsing,grammar checker,1,gold_all,none,0.5283698439598083
