source_id,target_id,source_index,target_index,source,target,label,split,negative_type,similarity
1,0,1,0,activation values,activation function,1,gold_all,none,0.799693763256073
0,6,0,6,activation function,back prop,1,gold_all,none,0.47263461351394653
0,68,0,68,activation function,forward propagation,1,gold_all,none,0.563094973564148
83,0,83,0,hidden layer,activation function,1,gold_all,none,0.629142701625824
84,0,84,0,hidden unit,activation function,1,gold_all,none,0.624427080154419
126,0,126,0,logistic function,activation function,1,gold_all,none,0.6444112062454224
158,0,158,0,neural network,activation function,1,gold_all,none,0.6387234926223755
209,0,209,0,sigmoid function,activation function,1,gold_all,none,0.7262243032455444
1,6,1,6,activation values,back prop,1,gold_all,none,0.46753397583961487
1,68,1,68,activation values,forward propagation,1,gold_all,none,0.5585500597953796
83,1,83,1,hidden layer,activation values,1,gold_all,none,0.5961733460426331
84,1,84,1,hidden unit,activation values,1,gold_all,none,0.5693262815475464
158,1,158,1,neural network,activation values,1,gold_all,none,0.5833467245101929
15,2,15,2,boosting algorithm,adaboost,1,gold_all,none,0.7498599290847778
111,2,111,2,learning method,adaboost,1,gold_all,none,0.40544697642326355
130,2,130,2,machine learning,adaboost,1,gold_all,none,0.40132078528404236
131,2,131,2,machine learning algorithm,adaboost,1,gold_all,none,0.42221611738204956
157,2,157,2,negative example,adaboost,1,gold_all,none,0.39660027623176575
186,2,186,2,positive data,adaboost,1,gold_all,none,0.38569289445877075
228,2,228,2,training data,adaboost,1,gold_all,none,0.40989720821380615
230,2,230,2,training error,adaboost,1,gold_all,none,0.336125910282135
241,2,241,2,weak classifier,adaboost,1,gold_all,none,0.7024742960929871
23,3,23,3,cluster,agglomerative clustering,1,gold_all,none,0.7620691061019897
24,3,24,3,clustering algorithm,agglomerative clustering,1,gold_all,none,0.6997983455657959
41,3,41,3,data set,agglomerative clustering,1,gold_all,none,0.31622114777565
85,3,85,3,hierarchical clustering,agglomerative clustering,1,gold_all,none,0.7449049353599548
100,3,100,3,k means,agglomerative clustering,1,gold_all,none,0.7066500186920166
4,5,4,5,anomalous example,anomaly detection,1,gold_all,none,0.78556889295578
41,4,41,4,data set,anomalous example,1,gold_all,none,0.38223040103912354
106,4,106,4,labeled data,anomalous example,1,gold_all,none,0.3629683256149292
228,4,228,4,training data,anomalous example,1,gold_all,none,0.44550514221191406
229,4,229,4,training data set,anomalous example,1,gold_all,none,0.38595134019851685
41,5,41,5,data set,anomaly detection,1,gold_all,none,0.41969504952430725
106,5,106,5,labeled data,anomaly detection,1,gold_all,none,0.47642335295677185
111,5,111,5,learning method,anomaly detection,1,gold_all,none,0.42801427841186523
112,5,112,5,learning problem,anomaly detection,1,gold_all,none,0.5077874660491943
114,5,114,5,learning system,anomaly detection,1,gold_all,none,0.4495397210121155
130,5,130,5,machine learning,anomaly detection,1,gold_all,none,0.4965042769908905
131,5,131,5,machine learning algorithm,anomaly detection,1,gold_all,none,0.45264989137649536
133,5,133,5,machine learning system,anomaly detection,1,gold_all,none,0.485676646232605
157,5,157,5,negative example,anomaly detection,1,gold_all,none,0.4648013710975647
160,5,160,5,non-anomalous examples,anomaly detection,1,gold_all,none,0.7986705899238586
186,5,186,5,positive data,anomaly detection,1,gold_all,none,0.4977242946624756
188,5,188,5,positive training example,anomaly detection,1,gold_all,none,0.4281976819038391
219,5,219,5,supervised learning,anomaly detection,1,gold_all,none,0.5076867938041687
228,5,228,5,training data,anomaly detection,1,gold_all,none,0.47903937101364136
229,5,229,5,training data set,anomaly detection,1,gold_all,none,0.3952072262763977
