source_id,target_id,source_index,target_index,source,target,label,split,negative_type,similarity
45,92,45,92,deep features,image retrieval,0,train,label_file_random,0.401943176984787
24,167,24,167,clustering algorithm,online learning,0,train,label_file_random,0.3558209240436554
26,41,26,41,features,data set,0,train,label_file_random,0.5727939605712891
130,192,130,192,machine learning,prediction error,0,train,label_file_random,0.5867969393730164
4,53,4,53,anomalous example,error analysis,0,train,label_file_random,0.3845919966697693
12,140,12,140,bias variance trade-off,maximum likelihood,0,train,label_file_random,0.5230387449264526
32,132,32,132,conjugate gradient,machine learning application,0,train,label_file_random,0.305047869682312
23,221,23,221,cluster,support vector machine,0,train,label_file_random,0.46302855014801025
41,196,41,196,data set,probability density,0,train,label_file_random,0.38457292318344116
24,148,24,148,clustering algorithm,mixture model,0,train,label_file_random,0.4543963074684143
70,111,70,111,gaussian kernel,learning method,0,train,label_file_random,0.4374251067638397
224,228,224,228,symmetric matrix,training data,0,train,label_file_random,0.3875507712364197
121,170,121,170,linear regression,optimization objective,0,train,label_file_random,0.497622013092041
14,230,14,230,binary classification,training error,0,train,label_file_random,0.43607640266418457
107,128,107,128,large margin classifier,loss function,0,train,label_file_random,0.37607643008232117
26,209,26,209,features,sigmoid function,0,train,label_file_random,0.35549813508987427
67,228,67,228,feature vector,training data,0,train,label_file_random,0.499652624130249
184,229,184,229,polynomial terms,training data set,0,train,label_file_random,0.3069879412651062
115,201,115,201,least squares,regression function,0,train,label_file_random,0.6443053483963013
208,220,208,220,sentiment classifier,support vector,0,train,label_file_random,0.5156412124633789
11,127,11,127,bias unit,logistic regression,0,train,label_file_random,0.3076675236225128
184,240,184,240,polynomial terms,vector multiplication,0,train,label_file_random,0.4141327738761902
77,152,77,152,global optimum,multi-class classification,0,train,label_file_random,0.2555429935455322
32,191,32,191,conjugate gradient,predicted value,0,train,label_file_random,0.3425842523574829
56,232,56,232,evaluation metrics,true negatives,0,train,label_file_random,0.5549666881561279
207,230,207,230,sentiment analysis,training error,0,train,label_file_random,0.2439028024673462
87,239,87,239,precision,variance problem,0,train,label_file_random,0.41303157806396484
105,183,105,183,l1 penalty,polynomial regression,0,train,label_file_random,0.40526753664016724
13,109,13,109,big data sets,latent dirichlet allocation,0,train,label_file_random,0.22439095377922058
171,220,171,220,optimization problem,support vector,0,train,label_file_random,0.49384427070617676
26,239,26,239,features,variance problem,0,train,label_file_random,0.4422455132007599
48,64,48,64,derivative term,feature scaling,0,train,label_file_random,0.34148019552230835
88,204,88,204,recall,regularization,0,train,label_file_random,0.48426517844200134
26,200,26,200,features,regression coefficients,0,train,label_file_random,0.5966088771820068
25,109,25,109,collaborative filtering,latent dirichlet allocation,0,train,label_file_random,0.41485050320625305
69,100,69,100,gaussian density,k means,0,train,label_file_random,0.3884836435317993
90,130,90,130,identity matrics,machine learning,0,train,label_file_random,0.36908504366874695
45,228,45,228,deep features,training data,0,train,label_file_random,0.48087331652641296
116,177,116,177,likelihood function,partial derivative,0,train,label_file_random,0.34758833050727844
57,221,57,221,expectation maximization,support vector machine,0,train,label_file_random,0.3506060838699341
112,242,112,242,learning problem,overfitting,0,train,label_file_random,0.5583629608154297
120,156,120,156,linear model,nearest neighbors,0,train,label_file_random,0.44115686416625977
77,95,77,95,global optimum,input layer,0,train,label_file_random,0.38013380765914917
140,229,140,229,maximum likelihood,training data set,0,train,label_file_random,0.4515876770019531
21,53,21,53,classification problem,error analysis,0,train,label_file_random,0.5538579821586609
5,233,5,233,anomaly detection,true positives,0,train,label_file_random,0.44567957520484924
111,119,111,119,learning method,linear kernel,0,train,label_file_random,0.4531845152378082
12,202,12,202,bias variance trade-off,regression model,0,train,label_file_random,0.5174157619476318
177,216,177,216,partial derivative,standard least squares,0,train,label_file_random,0.31159111857414246
26,97,26,97,features,input units,0,train,label_file_random,0.48304152488708496
97,177,97,177,input units,partial derivative,0,train,label_file_random,0.4213164448738098
110,113,110,113,learning curve,learning rate,0,train,label_file_random,0.6569231748580933
11,186,11,186,bias unit,positive data,0,train,label_file_random,0.372435063123703
67,131,67,131,feature vector,machine learning algorithm,0,train,label_file_random,0.49233922362327576
140,230,140,230,maximum likelihood,training error,0,train,label_file_random,0.46857932209968567
42,84,42,84,decision boundaries,hidden unit,0,train,label_file_random,0.32102304697036743
23,26,23,26,cluster,features,0,train,label_file_random,0.5739307403564453
146,236,146,236,minimization problem,unsupervised learning,0,train,label_file_random,0.43094587326049805
46,185,46,185,deep learning,positive class,0,train,label_file_random,0.3044869303703308
26,175,26,175,features,parameter estimation,0,train,label_file_random,0.42879819869995117
71,117,71,117,gaussian model,linear algebra,0,train,label_file_random,0.3431757092475891
170,199,170,199,optimization objective,recommender system,0,train,label_file_random,0.23562555015087128
188,226,188,226,positive training example,test data set,0,train,label_file_random,0.5167509317398071
106,198,106,198,labeled data,random variable,0,train,label_file_random,0.5627036094665527
131,140,131,140,machine learning algorithm,maximum likelihood,0,train,label_file_random,0.44626307487487793
89,170,89,170,hypothesis,optimization objective,0,train,label_file_random,0.5226033329963684
88,131,88,131,recall,machine learning algorithm,0,train,label_file_random,0.41311824321746826
88,133,88,133,recall,machine learning system,0,train,label_file_random,0.518596887588501
96,214,96,214,input space,squared error,0,train,label_file_random,0.46281978487968445
41,71,41,71,data set,gaussian model,0,train,label_file_random,0.3611888885498047
186,228,186,228,positive data,training data,0,train,label_file_random,0.5793001651763916
140,165,140,165,maximum likelihood,matrix,0,train,label_file_random,0.3166806101799011
118,209,118,209,linear classifier,sigmoid function,0,train,label_file_random,0.4125552177429199
94,176,94,176,input data,parameter vector,0,train,label_file_random,0.5659711956977844
109,202,109,202,latent dirichlet allocation,regression model,0,train,label_file_random,0.22523781657218933
26,213,26,213,features,square projection error,0,train,label_file_random,0.5026869773864746
79,125,79,125,gradient ascent,log likelihood,0,train,label_file_random,0.5314508676528931
127,162,127,162,logistic regression,normal equation,0,train,label_file_random,0.370834618806839
34,171,34,171,convex function,optimization problem,0,train,label_file_random,0.5042550563812256
89,114,89,114,hypothesis,learning system,0,train,label_file_random,0.5716668367385864
43,128,43,128,decision stamp,loss function,0,train,label_file_random,0.28574883937835693
41,217,41,217,data set,stochastic gradient algorithm,0,train,label_file_random,0.33607780933380127
7,26,7,26,batch gradient descent,features,0,train,label_file_random,0.389825701713562
174,186,174,186,output unit,positive data,0,train,label_file_random,0.34835031628608704
157,236,157,236,negative example,unsupervised learning,0,train,label_file_random,0.34606555104255676
41,113,41,113,data set,learning rate,0,train,label_file_random,0.33524489402770996
106,148,106,148,labeled data,mixture model,0,train,label_file_random,0.39449742436408997
156,195,156,195,nearest neighbors,probabilistic model,0,train,label_file_random,0.31484362483024597
5,232,5,232,anomaly detection,true negatives,0,train,label_file_random,0.5030696988105774
111,212,111,212,learning method,square matrix,0,train,label_file_random,0.34788450598716736
109,236,109,236,latent dirichlet allocation,unsupervised learning,0,train,label_file_random,0.3835580050945282
165,173,165,173,matrix,output layer,0,train,label_file_random,0.4477648138999939
75,219,75,219,gibbs sampler,supervised learning,0,train,label_file_random,0.2753813564777374
81,204,81,204,gradient descent,regularization,0,train,label_file_random,0.6140061616897583
112,156,112,156,learning problem,nearest neighbors,0,train,label_file_random,0.5046191215515137
149,226,149,226,model complexity,test data set,0,train,label_file_random,0.4889170527458191
200,240,200,240,regression coefficients,vector multiplication,0,train,label_file_random,0.3909173309803009
69,130,69,130,gaussian density,machine learning,0,train,label_file_random,0.3756752014160156
113,226,113,226,learning rate,test data set,0,train,label_file_random,0.4031440019607544
111,136,111,136,learning method,matrix factorization,0,train,label_file_random,0.3128221333026886
46,81,46,81,deep learning,gradient descent,0,train,label_file_random,0.6122263669967651
108,237,108,237,lasso regression,validation error,0,train,label_file_random,0.44496047496795654
17,157,17,157,character segmentation,negative example,0,train,label_file_random,0.21442049741744995
43,238,43,238,decision stamp,validation set,0,train,label_file_random,0.38895824551582336
76,214,76,214,global minimum,squared error,0,train,label_file_random,0.5224570631980896
195,236,195,236,probabilistic model,unsupervised learning,0,train,label_file_random,0.3457721173763275
130,186,130,186,machine learning,positive data,0,train,label_file_random,0.4089609980583191
31,45,31,45,confusion matrix,deep features,0,train,label_file_random,0.3332212567329407
13,81,13,81,big data sets,gradient descent,0,train,label_file_random,0.3712940812110901
21,82,21,82,classification problem,greedy algorithm,0,train,label_file_random,0.4948115348815918
202,241,202,241,regression model,weak classifier,0,train,label_file_random,0.4722912907600403
111,243,111,243,learning method,underfitting,0,train,label_file_random,0.44939929246902466
121,193,121,193,linear regression,principle components,0,train,label_file_random,0.34053274989128113
198,229,198,229,random variable,training data set,0,train,label_file_random,0.5287718176841736
131,188,131,188,machine learning algorithm,positive training example,0,train,label_file_random,0.3955586850643158
