source_id,target_id,source_index,target_index,source,target,label,split,negative_type,similarity
41,134,41,134,data set,massive training set,1,train,none,0.6321872472763062
67,83,67,83,feature vector,hidden layer,1,train,none,0.4836190342903137
78,217,78,217,gradient algorithm,stochastic gradient algorithm,1,train,none,0.7971867322921753
219,158,219,158,supervised learning,neural network,1,train,none,0.5362627506256104
226,183,226,183,test data set,polynomial regression,1,train,none,0.31568244099617004
226,16,226,16,test data set,character recognition,1,train,none,0.31675130128860474
121,159,121,159,linear regression,neural network learning,1,train,none,0.5341945290565491
226,53,226,53,test data set,error analysis,1,train,none,0.5760538578033447
112,134,112,134,learning problem,massive training set,1,train,none,0.47040802240371704
128,162,128,162,loss function,normal equation,1,train,none,0.46259140968322754
165,138,165,138,matrix,matrix transpose,1,train,none,0.7433953285217285
111,65,111,65,learning method,feature selection,1,train,none,0.5263422727584839
219,204,219,204,supervised learning,regularization,1,train,none,0.5814547538757324
118,206,118,206,linear classifier,regularized logistic regression,1,train,none,0.46699729561805725
130,16,130,16,machine learning,character recognition,1,train,none,0.5469536781311035
40,47,40,47,data representation,deep neural network,1,train,none,0.4828594923019409
169,104,169,104,optimization algorithms,kernel regression,1,train,none,0.3752896785736084
100,85,100,85,k means,hierarchical clustering,1,train,none,0.7223510146141052
93,222,93,222,inner product,svm optimization,1,train,none,0.30469033122062683
26,47,26,47,features,deep neural network,1,train,none,0.5207206606864929
111,14,111,14,learning method,binary classification,1,train,none,0.4606916010379791
225,227,225,227,test data,test error,1,train,none,0.7440799474716187
165,50,165,50,matrix,dimensionality reduction,1,train,none,0.441474974155426
99,195,99,195,joint model probability,probabilistic model,1,train,none,0.7273086309432983
165,57,165,57,matrix,expectation maximization,1,train,none,0.2315223217010498
131,100,131,100,machine learning algorithm,k means,1,train,none,0.4747806191444397
176,223,176,223,parameter vector,svm packages,1,train,none,0.47757577896118164
112,62,112,62,learning problem,feature engineering,1,train,none,0.5153310894966125
134,158,134,158,massive training set,neural network,1,train,none,0.5177054405212402
36,71,36,71,covariance matrix,gaussian model,1,train,none,0.5652753114700317
219,202,219,202,supervised learning,regression model,1,train,none,0.5868475437164307
21,221,21,221,classification problem,support vector machine,1,train,none,0.5848274230957031
186,60,186,60,positive data,false negative,1,train,none,0.680877685546875
158,173,158,173,neural network,output layer,1,train,none,0.7114815711975098
228,237,228,237,training data,validation error,1,train,none,0.6449300050735474
61,31,61,31,false positives,confusion matrix,1,train,none,0.7134402394294739
236,5,236,5,unsupervised learning,anomaly detection,1,train,none,0.5358148813247681
202,200,202,200,regression model,regression coefficients,1,train,none,0.6932649612426758
132,17,132,17,machine learning application,character segmentation,1,train,none,0.23139910399913788
41,229,41,229,data set,training data set,1,train,none,0.8818614482879639
201,202,201,202,regression function,regression model,1,train,none,0.832392156124115
20,242,20,242,classification error,overfitting,1,train,none,0.6214174032211304
26,219,26,219,features,supervised learning,1,train,none,0.5890392661094666
165,139,165,139,matrix,matrix vector multiplication,1,train,none,0.7875790596008301
158,54,158,54,neural network,error cost function,1,train,none,0.4897266626358032
111,131,111,131,learning method,machine learning algorithm,1,train,none,0.7861952781677246
11,6,11,6,bias unit,back prop,1,train,none,0.5517752766609192
227,151,227,151,test error,model selection,1,train,none,0.4971592426300049
29,141,29,141,conditional distribution,maximum likelihood estimate,1,train,none,0.5041346549987793
94,127,94,127,input data,logistic regression,1,train,none,0.4421534538269043
117,127,117,127,linear algebra,logistic regression,1,train,none,0.37104564905166626
185,61,185,61,positive class,false positives,1,train,none,0.7108780145645142
149,151,149,151,model complexity,model selection,1,train,none,0.6529477834701538
89,68,89,68,hypothesis,forward propagation,1,train,none,0.368205189704895
21,159,21,159,classification problem,neural network learning,1,train,none,0.4520782232284546
116,125,116,125,likelihood function,log likelihood,1,train,none,0.8476691246032715
229,239,229,239,training data set,variance problem,1,train,none,0.4418725371360779
170,32,170,32,optimization objective,conjugate gradient,1,train,none,0.48093366622924805
133,59,133,59,machine learning system,face detection,1,train,none,0.4758317470550537
228,121,228,121,training data,linear regression,1,train,none,0.5084549188613892
191,20,191,20,predicted value,classification error,1,train,none,0.5123704075813293
229,230,229,230,training data set,training error,1,train,none,0.7238433361053467
130,210,130,210,machine learning,spam filtering,1,train,none,0.4354774057865143
228,39,228,39,training data,cross validation sets,1,train,none,0.5919854640960693
41,39,41,39,data set,cross validation sets,1,train,none,0.6971645355224609
55,149,55,149,estimated parameters,model complexity,1,train,none,0.6134645938873291
13,158,13,158,big data sets,neural network,1,train,none,0.47853004932403564
56,87,56,87,evaluation metrics,precision,1,train,none,0.6833943128585815
67,162,67,162,feature vector,normal equation,1,train,none,0.3784436285495758
34,54,34,54,convex function,error cost function,1,train,none,0.543135941028595
71,148,71,148,gaussian model,mixture model,1,train,none,0.7383307218551636
73,239,73,239,generalization error,variance problem,1,train,none,0.6707279682159424
158,83,158,83,neural network,hidden layer,1,train,none,0.8272917866706848
221,119,221,119,support vector machine,linear kernel,1,train,none,0.6267789006233215
171,121,171,121,optimization problem,linear regression,1,train,none,0.4619765281677246
56,10,56,10,evaluation metrics,bias problem,1,train,none,0.414995402097702
73,12,73,12,generalization error,bias variance trade-off,1,train,none,0.7034676671028137
171,221,171,221,optimization problem,support vector machine,1,train,none,0.4535316824913025
48,7,48,7,derivative term,batch gradient descent,1,train,none,0.5633713006973267
130,113,130,113,machine learning,learning rate,1,train,none,0.524003803730011
226,232,226,232,test data set,true negatives,1,train,none,0.4573175609111786
93,164,93,164,inner product,normalized representation,1,train,none,0.5253404378890991
125,141,125,141,log likelihood,maximum likelihood estimate,1,train,none,0.7006689310073853
226,17,226,17,test data set,character segmentation,1,train,none,0.2265649139881134
76,110,76,110,global minimum,learning curve,1,train,none,0.5006396174430847
229,202,229,202,training data set,regression model,1,train,none,0.5638831853866577
41,37,41,37,data set,cross validation,1,train,none,0.5892560482025146
215,69,215,69,standard deviation,gaussian density,1,train,none,0.5472385287284851
26,65,26,65,features,feature selection,1,train,none,0.7682098746299744
141,8,141,8,maximum likelihood estimate,bayesian approach,1,train,none,0.5349897742271423
26,37,26,37,features,cross validation,1,train,none,0.5530591607093811
26,210,26,210,features,spam filtering,1,train,none,0.4671701192855835
111,57,111,57,learning method,expectation maximization,1,train,none,0.4409920275211334
26,152,26,152,features,multi-class classification,1,train,none,0.45387834310531616
94,18,94,18,input data,classification accuracy,1,train,none,0.43082091212272644
77,169,77,169,global optimum,optimization algorithms,1,train,none,0.6222068667411804
111,50,111,50,learning method,dimensionality reduction,1,train,none,0.3952142894268036
97,6,97,6,input units,back prop,1,train,none,0.48399192094802856
111,151,111,151,learning method,model selection,1,train,none,0.5565541982650757
158,174,158,174,neural network,output unit,1,train,none,0.6271812319755554
219,242,219,242,supervised learning,overfitting,1,train,none,0.6028468608856201
192,227,192,227,prediction error,test error,1,train,none,0.7767908573150635
131,127,131,127,machine learning algorithm,logistic regression,1,train,none,0.4866793155670166
77,81,77,81,global optimum,gradient descent,1,train,none,0.5741250514984131
130,74,130,74,machine learning,generalized linear models,1,train,none,0.3957062065601349
26,221,26,221,features,support vector machine,1,train,none,0.5261209011077881
171,205,171,205,optimization problem,regularized linear regression,1,train,none,0.45681196451187134
146,204,146,204,minimization problem,regularization,1,train,none,0.5782177448272705
169,140,169,140,optimization algorithms,maximum likelihood,1,train,none,0.4515312612056732
81,145,81,145,gradient descent,mini-batch size,1,train,none,0.5966256260871887
239,204,239,204,variance problem,regularization,1,train,none,0.5055611729621887
112,203,112,203,learning problem,regression problem,1,train,none,0.6900313496589661
225,232,225,232,test data,true negatives,1,train,none,0.4896170496940613
114,10,114,10,learning system,bias problem,1,train,none,0.4992689788341522
94,133,94,133,input data,machine learning system,1,train,none,0.6242067217826843
176,11,176,11,parameter vector,bias unit,1,train,none,0.5730184316635132
112,63,112,63,learning problem,feature extraction,1,train,none,0.4554581642150879
21,118,21,118,classification problem,linear classifier,1,train,none,0.5955156683921814
157,14,157,14,negative example,binary classification,1,train,none,0.4582882821559906
228,10,228,10,training data,bias problem,1,train,none,0.5936265587806702
184,86,184,86,polynomial terms,high order polynomial,1,train,none,0.755068302154541
168,35,168,35,optimal solution,coordinate descent,1,train,none,0.40679240226745605
132,16,132,16,machine learning application,character recognition,1,train,none,0.4259590208530426
176,66,176,66,parameter vector,feature space,1,train,none,0.5274158716201782
128,12,128,12,loss function,bias variance trade-off,1,train,none,0.47418224811553955
55,200,55,200,estimated parameters,regression coefficients,1,train,none,0.6356757283210754
185,118,185,118,positive class,linear classifier,1,train,none,0.48905301094055176
131,44,131,44,machine learning algorithm,decision tree,1,train,none,0.6320492625236511
20,60,20,60,classification error,false negative,1,train,none,0.6885218620300293
190,18,190,18,predicted class,classification accuracy,1,train,none,0.7232315540313721
18,58,18,58,classification accuracy,f1 score,1,train,none,0.7535176873207092
85,3,85,3,hierarchical clustering,agglomerative clustering,1,train,none,0.7449049353599548
