source_id,target_id,source_index,target_index,source,target,label,split,negative_type,similarity
1,0,1,0,mathematics,random_graph,1,gold_all,none,0.3974674344062805
3,2,3,2,algorithm_design,knowledge_representation_and_reasoning,1,gold_all,none,0.35303565859794617
5,4,5,4,natural_language,natural_language_processing,1,gold_all,none,0.8474864959716797
7,6,7,6,combinatorics,algorithm,1,gold_all,none,0.5344574451446533
9,8,9,8,unix,system_programming,1,gold_all,none,0.662506639957428
7,0,7,0,combinatorics,random_graph,1,gold_all,none,0.46988019347190857
11,10,11,10,mathematical_proof,mathematical_induction,1,gold_all,none,0.6475813388824463
13,12,13,12,image_processing,computer_vision,1,gold_all,none,0.6807225942611694
1,14,1,14,mathematics,randomness,1,gold_all,none,0.4967609643936157
16,15,16,15,number_theory,computer_science,1,gold_all,none,0.48506826162338257
18,17,18,17,data_(computing),database,1,gold_all,none,0.7149940133094788
20,19,20,19,graph_theory,machine_learning,1,gold_all,none,0.46524375677108765
22,21,22,21,programming_language,type_system,1,gold_all,none,0.52488112449646
22,23,22,23,programming_language,variable_(computer_science),1,gold_all,none,0.5501072406768799
25,24,25,24,logic,computer_programming,1,gold_all,none,0.5359009504318237
27,26,27,26,operating_system,distributed_computing,1,gold_all,none,0.5534207820892334
29,28,29,28,computation,monte_carlo_method,1,gold_all,none,0.35406550765037537
31,30,31,30,recursion,first-order_logic,1,gold_all,none,0.4294045567512512
33,32,33,32,formal_grammar,lexical_analysis,1,gold_all,none,0.6233364343643188
1,6,1,6,mathematics,algorithm,1,gold_all,none,0.5810485482215881
35,34,35,34,np-complete,shortest_path_problem,1,gold_all,none,0.4736201763153076
37,36,37,36,algebra,probability_theory,1,gold_all,none,0.4799964427947998
24,8,24,8,computer_programming,system_programming,1,gold_all,none,0.7092013359069824
39,38,39,38,computer,graphical_user_interface,1,gold_all,none,0.5460355877876282
6,40,6,40,algorithm,profiling_(computer_programming),1,gold_all,none,0.49331092834472656
6,41,6,41,algorithm,complexity_class,1,gold_all,none,0.5881760120391846
43,42,43,42,geometry,computer_graphics,1,gold_all,none,0.508499026298523
24,44,24,44,computer_programming,relational_database,1,gold_all,none,0.38099390268325806
46,45,46,45,software_design,software_development,1,gold_all,none,0.7963751554489136
48,47,48,47,computational_geometry,geometric_modeling,1,gold_all,none,0.7364323139190674
50,49,50,49,complexity,computational_complexity_theory,1,gold_all,none,0.7026111483573914
52,51,52,51,data,statistical_inference,1,gold_all,none,0.48915553092956543
