source_id,target_id,source_index,target_index,source,target,label,split,negative_type,similarity
337,300,337,300,world_wide_web,javascript,1,train,none,0.474123477935791
24,19,24,19,computer_programming,machine_learning,1,train,none,0.7154433727264404
24,126,24,126,computer_programming,abstraction_(computer_science),1,train,none,0.5605902671813965
14,122,14,122,randomness,stochastic_process,1,train,none,0.6467162370681763
15,24,15,24,computer_science,computer_programming,1,train,none,0.6746619343757629
6,121,6,121,algorithm,dynamic_programming,1,train,none,0.49864083528518677
24,85,24,85,computer_programming,software_engineering,1,train,none,0.691482424736023
15,365,15,365,computer_science,procedural_programming,1,train,none,0.463765025138855
256,267,256,267,computability,pushdown_automaton,1,train,none,0.35794582962989807
31,150,31,150,recursion,recursively_enumerable_set,1,train,none,0.6319377422332764
87,320,87,320,control_flow,software_testing,1,train,none,0.44158148765563965
58,147,58,147,artificial_intelligence,question_answering,1,train,none,0.5338889360427856
80,194,80,194,computer_network,network_security,1,train,none,0.5675925016403198
247,226,247,226,randomization,randomized_algorithm,1,train,none,0.856559157371521
1,215,1,215,mathematics,interpolation,1,train,none,0.3459710478782654
15,80,15,80,computer_science,computer_network,1,train,none,0.4675997197628021
1,36,1,36,mathematics,probability_theory,1,train,none,0.651864767074585
39,346,39,346,computer,input/output,1,train,none,0.6372528076171875
15,161,15,161,computer_science,quantum_computer,1,train,none,0.38051891326904297
145,306,145,306,numerical_analysis,round-off_error,1,train,none,0.4542964696884155
6,103,6,103,algorithm,string_searching_algorithm,1,train,none,0.47150880098342896
22,360,22,360,programming_language,denotational_semantics,1,train,none,0.6097984313964844
265,103,265,103,introduction_to_algorithms,string_searching_algorithm,1,train,none,0.37699365615844727
13,12,13,12,image_processing,computer_vision,1,train,none,0.6807225942611694
20,143,20,143,graph_theory,social_network,1,train,none,0.7676712870597839
17,285,17,285,database,database_system,1,train,none,0.8792479038238525
108,164,108,164,polynomial,linear_algebra,1,train,none,0.5791085958480835
5,4,5,4,natural_language,natural_language_processing,1,train,none,0.8474864959716797
94,163,94,163,random_variable,mathematical_optimization,1,train,none,0.43438583612442017
6,134,6,134,algorithm,p_versus_np_problem,1,train,none,0.5010592937469482
207,330,207,330,sql,query_optimization,1,train,none,0.7076113820075989
15,72,15,72,computer_science,compiler,1,train,none,0.3576279878616333
6,57,6,57,algorithm,data_mining,1,train,none,0.582162618637085
157,194,157,194,security,network_security,1,train,none,0.7454547882080078
24,392,24,392,computer_programming,programming_style,1,train,none,0.6953336000442505
234,20,234,20,discrete_mathematics,graph_theory,1,train,none,0.5755109190940857
171,122,171,122,probability,stochastic_process,1,train,none,0.5620712041854858
105,60,105,60,analysis_of_algorithms,robotics,1,train,none,0.32979848980903625
14,358,14,358,randomness,statistics,1,train,none,0.5883526802062988
256,22,256,22,computability,programming_language,1,train,none,0.45204246044158936
