source_id,target_id,source_index,target_index,source,target,label,split,negative_type,similarity
236,383,236,383,graph_(mathematics),fast_fourier_transform,0,train,label_file_random,0.26163095235824585
163,358,163,358,mathematical_optimization,statistics,0,train,label_file_random,0.5240353941917419
175,165,175,165,relational_algebra,concurrency_control,0,train,label_file_random,0.39213883876800537
172,120,172,120,recurrence_relation,partial_differential_equation,0,train,label_file_random,0.41978058218955994
95,230,95,230,string_(computer_science),parametric_polymorphism,0,train,label_file_random,0.29802489280700684
277,465,277,465,linear_programming,np-hard,0,train,label_file_random,0.43361347913742065
158,414,158,414,theoretical_computer_science,simulation,0,train,label_file_random,0.3107817769050598
168,272,168,272,synchronization,microprocessor,0,train,label_file_random,0.49666112661361694
7,411,7,411,combinatorics,vector_space,0,train,label_file_random,0.48765337467193604
208,255,208,255,python_(programming_language),lazy_evaluation,0,train,label_file_random,0.46695810556411743
346,255,346,255,input/output,lazy_evaluation,0,train,label_file_random,0.46447423100471497
121,34,121,34,dynamic_programming,shortest_path_problem,0,train,label_file_random,0.4528663754463196
367,58,367,58,linked_list,artificial_intelligence,0,train,label_file_random,0.3117687702178955
98,2,98,2,object-oriented_programming,knowledge_representation_and_reasoning,0,train,label_file_random,0.3827613592147827
85,7,85,7,software_engineering,combinatorics,0,train,label_file_random,0.3339988887310028
46,318,46,318,software_design,logic_programming,0,train,label_file_random,0.403531014919281
367,211,367,211,linked_list,monad_(functional_programming),0,train,label_file_random,0.4430875778198242
403,288,403,288,encryption,peer-to-peer,0,train,label_file_random,0.5022084712982178
49,132,49,132,computational_complexity_theory,functional_programming,0,train,label_file_random,0.3280283808708191
365,75,365,75,procedural_programming,bioinformatics,0,train,label_file_random,0.3753606379032135
1,90,1,90,mathematics,programming_paradigm,0,train,label_file_random,0.46407997608184814
5,19,5,19,natural_language,machine_learning,0,train,label_file_random,0.5335565805435181
297,41,297,41,regular_language,complexity_class,0,train,label_file_random,0.3634576201438904
97,22,97,22,theory_of_computation,programming_language,0,train,label_file_random,0.47409552335739136
48,101,48,101,computational_geometry,computational_chemistry,0,train,label_file_random,0.3009120523929596
334,185,334,185,personal_computer,embedded_system,0,train,label_file_random,0.6266778111457825
7,57,7,57,combinatorics,data_mining,0,train,label_file_random,0.42585504055023193
243,418,243,418,problem_solving,intelligence,0,train,label_file_random,0.5773360729217529
363,110,363,110,formal_methods,parallel_computing,0,train,label_file_random,0.36826735734939575
153,35,153,35,propositional_calculus,np-complete,0,train,label_file_random,0.368865966796875
12,57,12,57,computer_vision,data_mining,0,train,label_file_random,0.44653835892677307
318,16,318,16,logic_programming,number_theory,0,train,label_file_random,0.2384282946586609
167,312,167,312,java_(programming_language),application_programming_interface,0,train,label_file_random,0.662151575088501
18,6,18,6,data_(computing),algorithm,0,train,label_file_random,0.6133641600608826
45,449,45,449,software_development,specification_(technical_standard),0,train,label_file_random,0.5281325578689575
289,146,289,146,c_(programming_language),communications_protocol,0,train,label_file_random,0.4601842761039734
267,297,267,297,pushdown_automaton,regular_language,0,train,label_file_random,0.627743661403656
49,77,49,77,computational_complexity_theory,data_structure,0,train,label_file_random,0.34056857228279114
20,209,20,209,graph_theory,calculus,0,train,label_file_random,0.40707841515541077
58,416,58,416,artificial_intelligence,philosophy,0,train,label_file_random,0.709816038608551
24,155,24,155,computer_programming,inter-process_communication,0,train,label_file_random,0.4058378338813782
279,80,279,80,kernel_(computing),computer_network,0,train,label_file_random,0.5530484318733215
233,196,233,196,context-free_language,turing_machine,0,train,label_file_random,0.3979027569293976
279,353,279,353,kernel_(computing),web_server,0,train,label_file_random,0.453826904296875
49,90,49,90,computational_complexity_theory,programming_paradigm,0,train,label_file_random,0.39769917726516724
101,19,101,19,computational_chemistry,machine_learning,0,train,label_file_random,0.3649023771286011
238,345,238,345,hash_table,amortized_analysis,0,train,label_file_random,0.40342119336128235
