source_id,target_id,source,target,weight
0,1,adjacency matrix,graph representation,0.6728232502937317
0,2,adjacency matrix,road network,0.6016330122947693
0,12,adjacency matrix,molecular graph,0.6268478035926819
0,13,adjacency matrix,circuit graph,0.6179562211036682
0,14,adjacency matrix,directed graph,0.6545398831367493
0,17,adjacency matrix,incidence matrix,0.6934537291526794
0,25,adjacency matrix,simple graph,0.6095244288444519
0,30,adjacency matrix,embedding matrix,0.690764307975769
0,31,adjacency matrix,complete graph,0.6671974658966064
0,32,adjacency matrix,adjacency,0.8113378286361694
0,36,adjacency matrix,spanning subgraph,0.5588839054107666
0,39,adjacency matrix,symmetric matrix,0.724396824836731
0,47,adjacency matrix,star-like graphs,0.5778931379318237
0,59,adjacency matrix,topology,0.6775838732719421
0,60,adjacency matrix,graph walks,0.6903359889984131
0,61,adjacency matrix,matrix powers,0.7660861015319824
0,68,adjacency matrix,fixed adjacency matrix,0.6767928600311279
0,154,adjacency matrix,graphlets,0.6420185565948486
0,321,adjacency matrix,adjacency matrix generation,0.7369030714035034
0,350,adjacency matrix,rule-sequence,0.5441089272499084
0,386,adjacency matrix,eigenvector centrality,0.6015823483467102
1,7,graph representation,geometric graph,0.5985388159751892
1,9,graph representation,hierarchical graph,0.6486258506774902
1,10,graph representation,node embedding,0.8174077272415161
1,11,graph representation,edge embedding,0.8519800901412964
1,12,graph representation,molecular graph,0.6330269575119019
1,13,graph representation,circuit graph,0.6406671404838562
1,15,graph representation,hypergraph,0.7256742715835571
1,17,graph representation,incidence matrix,0.7114400267601013
1,18,graph representation,heterogeneous graph,0.6739551424980164
1,23,graph representation,triplet,0.5920546650886536
1,25,graph representation,simple graph,0.6007369756698608
1,26,graph representation,annotated graph,0.7547913789749146
1,29,graph representation,feature matrix,0.7203601598739624
1,30,graph representation,embedding matrix,0.8267050981521606
1,34,graph representation,vertex set,0.6885297298431396
1,48,graph representation,permutation invariance,0.6802183389663696
1,52,graph representation,covariance matrix,0.7841631174087524
1,64,graph representation,graph classification,0.7616410255432129
1,68,graph representation,fixed adjacency matrix,0.7366842031478882
1,75,graph representation,representation learning,0.8132713437080383
1,83,graph representation,feature representation,0.6343210935592651
