part_concept,whole_concept
adjacency,adjacency matrix
adjacency matrix,graph representation
node embedding,graph representation
edge embedding,graph representation
feature matrix,graph representation
embedding matrix,graph representation
adjacency,graph representation
vertex set,graph representation
edge set,graph representation
topology,graph representation
graph structure encoding,graph representation
edge feature matrix,graph representation
edge attributes,graph representation
vertex set,road network
edge set,road network
vertex set,social network
edge set,social network
vertex set,citation network
edge set,citation network
node type,knowledge graph
relation type,knowledge graph
triplet,knowledge graph
edge type,knowledge graph
vertex set,knowledge graph
edge set,knowledge graph
vertex set,program flow graph
edge set,program flow graph
vertex set,geometric graph
edge set,geometric graph
vertex set,protein interaction network
edge set,protein interaction network
subgraph,hierarchical graph
vertex set,hierarchical graph
edge set,hierarchical graph
node type,molecular graph
edge type,molecular graph
feature matrix,molecular graph
vertex set,molecular graph
edge set,molecular graph
edge feature matrix,molecular graph
edge attributes,molecular graph
vertex set,circuit graph
edge set,circuit graph
vertex set,directed graph
edge set,directed graph
hyperedge,hypergraph
incidence matrix,hypergraph
high-order relationships,hypergraph
vertex set,hypergraph
node type,heterogeneous graph
relation type,heterogeneous graph
edge type,heterogeneous graph
feature matrix,heterogeneous graph
vertex set,heterogeneous graph
edge set,heterogeneous graph
edge feature matrix,heterogeneous graph
edge attributes,heterogeneous graph
vertex set,weighted graph
edge set,weighted graph
edge attributes,weighted graph
vertex set,simple graph
edge set,simple graph
feature matrix,annotated graph
vertex set,annotated graph
edge set,annotated graph
edge feature matrix,annotated graph
edge attributes,annotated graph
vertex set,complete graph
edge set,complete graph
vertex set,subgraph
edge set,subgraph
vertex set,proper subgraph
edge set,proper subgraph
vertex set,spanning subgraph
edge set,spanning subgraph
vertex set,induced subgraph
edge set,induced subgraph
geodesic distance,graph efficiency
degree centrality,node centrality measures
betweenness centrality,node centrality measures
eigenvector centrality,node centrality measures
node centrality measures,microscale topology
graphlets,microscale topology
highly connected core structure,mesoscale topology
core-periphery structure,mesoscale topology
vertex set,star-like graphs
edge set,star-like graphs
covariance matrix,principal component analysis
eigenvalues,principal component analysis
eigen decomposition,principal component analysis
eigenvectors,principal component analysis
optimal subspace,principal component analysis
eigenvalues,eigen decomposition
eigenvectors,eigen decomposition
weights,linear regression
bias,linear regression
l2 loss,linear regression
matrix multiplication,linear regression
node-based features,feature integration
edge-based features,feature integration
graph-based features,feature integration
microscale topology,topology
mesoscale topology,topology
core-periphery structure,topology
matrix powers,graph walks
highly connected core structure,core-periphery structure
graph pooling,graph classification
cross-entropy,graph classification
prediction head,graph classification
global embedding aggregation,graph classification
loss objective,graph classification
training graphs,graph classification
global pooling,graph classification
input graph,graph classification
activation function,graph neural network
graph neural architecture,graph neural network
learnable parameters,graph neural network
transformation layers,graph neural network
graph pooling,graph neural network
layer-wise normalization,graph neural network
message passing,graph neural network
network output function,graph neural network
prediction head,graph neural network
parameter sharing,graph neural network
operation order,graph neural network
dropout,graph neural network
batch normalization,graph neural network
graph neural network layer,graph neural network
linear layer,graph neural network
node embedding,node classification
feature matrix,node classification
training samples,node classification
node labels,node classification
cross-entropy,node classification
prediction head,node classification
output scores,node classification
softmax normalization,node classification
loss objective,node classification
input graph,node classification
output label,node classification
adjacency matrix,edge prediction
node embedding,edge prediction
edge embedding,edge prediction
edge set,edge prediction
dot product,edge prediction
similarity function,edge prediction
prediction head,edge prediction
output scores,edge prediction
loss objective,edge prediction
input graph,edge prediction
logistic activation,binary classification
predicted class probability,binary classification
training samples,binary classification
cross-entropy,binary classification
prediction head,binary classification
loss objective,binary classification
output label,binary classification
latent representation,representation learning
feature embedding,representation learning
training samples,representation learning
feature extraction,representation learning
learnable parameters,representation learning
loss objective,representation learning
loss function,backpropagation
learnable parameters,backpropagation
computation graph,backpropagation
backward pass,backpropagation
chain rule,backpropagation
latent representation,encode-decode function
decoder,encode-decode function
dimensionality reduction,feature representation
hand-crafted features,feature representation
feature selection,feature representation
feature extraction,feature representation
feature matrix,matrix factorization
embedding matrix,matrix factorization
loss objective,matrix factorization
loss minimization,matrix factorization
spanning set,optimal subspace
matrix factorization,deep non-negative matrix factorization
similarity function,k-means clustering
empirical mean,k-means clustering
loss minimization,k-means clustering
matrix factorization,matrix completion
learnable parameters,matrix completion
regularization,matrix completion
loss objective,matrix completion
weights,supervised regression
bias,supervised regression
l2 loss,supervised regression
training samples,supervised regression
shared mapping,supervised regression
weights,single regression model
bias,single regression model
l2 loss,single regression model
shared mapping,single regression model
weights,single layer linear network
linear aggregation,single layer linear network
bias,single layer linear network
network mapping function,single layer linear network
weights,nonlinear network
activation function,nonlinear network
bias,nonlinear network
hidden layer,nonlinear network
composed feature transformation,nonlinear network
nonlinear transformation,nonlinear network
network mapping function,nonlinear network
linear layer,nonlinear network
matrix multiplication,linear aggregation
activation function,composed feature transformation
nonlinear transformation,composed feature transformation
single regression model,multi-regression models
weights,network mapping function
activation function,network mapping function
bias,network mapping function
hidden layer,network mapping function
composed feature transformation,network mapping function
matrix multiplication,network mapping function
function f,network mapping function
linear layer,network mapping function
neighborhood preservation,manifold learning
intrinsic dimension,manifold learning
extrinsic dimension,manifold learning
geodesic distance,manifold learning
high-dimensional manifold,manifold learning
graph walks,geodesic distance
node embedding,node-based features
feature matrix,node-based features
training samples,ml problem formalization
loss function,ml problem formalization
function f,ml problem formalization
input graph,ml problem formalization
output label,ml problem formalization
weights,shared mapping
edge embedding,edge-based features
edge feature matrix,edge-based features
edge attributes,edge-based features
node centrality measures,feature extraction
feature integration,feature extraction
graph walks,feature extraction
node-based features,feature extraction
edge-based features,feature extraction
graph-based features,feature extraction
graphlets,feature extraction
degree distribution,feature extraction
node centrality measures,graph-based features
graph density,graph-based features
graph sparsity,graph-based features
graph walks,graph-based features
core-periphery structure,graph-based features
graphlets,graph-based features
degree distribution,graph-based features
node embedding,node link prediction
dot product,node link prediction
similarity function,node link prediction
prediction head,node link prediction
node embedding,graph link prediction
dot product,graph link prediction
similarity function,graph link prediction
prediction head,graph link prediction
adjacency matrix,graph autoencoder
node embedding,graph autoencoder
feature matrix,graph autoencoder
graph neural network,graph autoencoder
dot product,graph autoencoder
encode-decode function,graph autoencoder
latent representation,graph autoencoder
similarity function,graph autoencoder
graph convolutional network,graph autoencoder
loss objective,graph autoencoder
edge feature matrix,graph autoencoder
input graph,graph autoencoder
graph representation learning,graph autoencoder
reconstruction loss,graph autoencoder
decoder,graph autoencoder
reconstruction,graph autoencoder
graph reconstruction,graph autoencoder
adjacency matrix,graph variational autoencoder
node embedding,graph variational autoencoder
feature matrix,graph variational autoencoder
dot product,graph variational autoencoder
fixed prior,graph variational autoencoder
encode-decode function,graph variational autoencoder
latent representation,graph variational autoencoder
graph autoencoder,graph variational autoencoder
graph convolutional network,graph variational autoencoder
edge feature matrix,graph variational autoencoder
input graph,graph variational autoencoder
graph representation learning,graph variational autoencoder
