concept_1,concept_2
machine learning,supervised learning
classification,misclassification
classification,supervised learning
classification,regression
classification,clustering
classification,classification accuracy
classification,misclassification count
classification,classification trees
training set,model training
training set,validation set
training set,training error
feature engineering,feature
feature engineering,feature selection
feature engineering,nonlinear feature engineering
feature engineering,feature learning
generalization,overfitting
generalization,underfitting
generalization,validation error
feature space,transformed feature space
feature space,manifold
model training,model validation
validation set,model validation
validation set,cross-validation
validation set,validation error
model validation,cross-validation
model validation,validation error
nonlinear model,nonlinear regression
nonlinear model,manifold
nonlinear model,nonlinear classification
misclassification,classification accuracy
misclassification,misclassification count
misclassification,cost function versus misclassification discrepancy
supervised learning,regression
supervised learning,input/output relationship
supervised learning,clustering
regression,input/output relationship
regression,clustering
regression,multi-output regression
regression,nonlinear regression
input/output relationship,nonlinear regression
continuous-valued output,categorical labels
cost function,quadratic cost function
cost function,convex cost function
cost function,point-wise cost
cost function,softmax cost function
cost function,regularizer
cost function,regularized cost function
mathematical optimization,minimization
mathematical optimization,global optimization
mathematical optimization,local optimization
clustering,k-means clustering
clustering,kernel k-means
model parameters,bias
model parameters,feature-touching weights
model parameters,regularization parameter
model parameters,optimization dial
model parameters,model capacity
model parameters,weight matrix
minimization,non-convex minimization
cross-validation,l2 regularization based cross-validation
cross-validation,k-folds cross-validation
cross-validation,naive cross-validation
cross-validation,regularization-based cross-validation
zero order optimization,zero order optimality condition
zero order optimization,random search
zero order optimization,coordinate search
zero order optimization,first order optimization methods
zero order optimization,second order optimization
global minimum,global maximum
global minimum,local minimum
global minimum,global optimization
global minimum,local maximum
global minimum,stationary points
global maximum,local minimum
global maximum,local maximum
global maximum,stationary points
local minimum,local maximum
local minimum,local optimization
local minimum,stationary points
global optimization,local optimization
zero order optimality condition,second order optimality condition
zero order optimality condition,first order condition for optimality
local maximum,stationary points
random sampling,uniform sampling
random sampling,centroid initialization
uniform sampling,centroid initialization
uniform sampling,feature subsampling
curse of dimensionality,exponential scaling of fixed-shape units
curse of dimensionality,computational trade-off
descent direction,gradient descent
descent direction,gradient
local optimization,sequential refinement
local optimization,first order optimization methods
sequential refinement,convergence
sequential refinement,closed form solution
initial point,stationary points
initial point,centroid initialization
diminishing steplength rules,steplength
diminishing steplength rules,backtracking line search
random search,coordinate descent
random search,coordinate search
convergence,convergence criterion
coordinate descent,coordinate search
coordinate descent,gradient descent
coordinate descent,alternating minimization
coordinate search,gradient descent
steplength,backtracking line search
steplength,regularization parameter
cost function history plot,scree plot
first order optimization methods,gradient descent
first order optimization methods,second order optimization
gradient descent,momentum accelerated gradient descent
gradient descent,normalized gradient descent
gradient descent,mini-batch gradient descent
