source_id,target_id,source,target,weight
0,5,activation function,anomaly detection,0.16396285593509674
0,33,activation function,convergence test,0.17113764584064484
0,74,activation function,generalized linear models,0.17541763186454773
0,98,activation function,iterative algorithm,0.14993920922279358
0,113,activation function,learning rate,0.17024222016334534
0,129,activation function,low rank matrix,0.1509469896554947
0,163,activation function,normalized features,0.16111817955970764
0,172,activation function,output label,0.15705004334449768
0,178,activation function,pca algorithm,0.1493624448776245
0,179,activation function,pedestrian detection,0.15095265209674835
0,224,activation function,symmetric matrix,0.2093430906534195
1,74,activation values,generalized linear models,0.2697943150997162
1,79,activation values,gradient ascent,0.18899056315422058
1,95,activation values,input layer,0.21048881113529205
1,158,activation values,neural network,0.1804744005203247
1,162,activation values,normal equation,0.16043055057525635
1,174,activation values,output unit,0.19131159782409668
1,195,activation values,probabilistic model,0.1631152629852295
1,204,activation values,regularization,0.17748913168907166
1,213,activation values,square projection error,0.16048535704612732
1,238,activation values,validation set,0.1878863126039505
2,49,adaboost,design matrix,0.23742781579494476
2,69,adaboost,gaussian density,0.17763344943523407
2,85,adaboost,hierarchical clustering,0.14071720838546753
2,126,adaboost,logistic function,0.2092132866382599
2,127,adaboost,logistic regression,0.14578723907470703
2,135,adaboost,matrix addition,0.14166370034217834
2,140,adaboost,maximum likelihood,0.15636225044727325
2,149,adaboost,model complexity,0.20402958989143372
2,156,adaboost,nearest neighbors,0.18652461469173431
2,172,adaboost,output label,0.16642175614833832
3,29,agglomerative clustering,conditional distribution,0.21003107726573944
3,107,agglomerative clustering,large margin classifier,0.17320704460144043
3,156,agglomerative clustering,nearest neighbors,0.19790248572826385
3,168,agglomerative clustering,optimal solution,0.18129326403141022
3,173,agglomerative clustering,output layer,0.13337558507919312
3,184,agglomerative clustering,polynomial terms,0.16000930964946747
3,187,agglomerative clustering,positive predictions,0.1791350245475769
3,201,agglomerative clustering,regression function,0.1490132361650467
3,235,agglomerative clustering,unnormalized features,0.21125774085521698
3,242,agglomerative clustering,overfitting,0.1449437439441681
4,10,anomalous example,bias problem,0.15123817324638367
4,14,anomalous example,binary classification,0.13686825335025787
4,23,anomalous example,cluster,0.14710338413715363
4,57,anomalous example,expectation maximization,0.17087842524051666
4,89,anomalous example,hypothesis,0.14031252264976501
4,90,anomalous example,identity matrics,0.21523717045783997
4,106,anomalous example,labeled data,0.1851329356431961
4,108,anomalous example,lasso regression,0.14708620309829712
4,203,anomalous example,regression problem,0.25985968112945557
4,218,anomalous example,string kernel,0.26334285736083984
5,8,anomaly detection,bayesian approach,0.17428505420684814
5,11,anomaly detection,bias unit,0.2038463056087494
5,52,anomaly detection,early stopping,0.1541222631931305
5,64,anomaly detection,feature scaling,0.21991102397441864
5,93,anomaly detection,inner product,0.156167134642601
5,95,anomaly detection,input layer,0.2833273708820343
5,171,anomaly detection,optimization problem,0.1558200865983963
5,194,anomaly detection,prior probability,0.15203046798706055
5,199,anomaly detection,recommender system,0.1306539922952652
5,200,anomaly detection,regression coefficients,0.15035860240459442
5,224,anomaly detection,symmetric matrix,0.15424185991287231
6,41,back prop,data set,0.15183992683887482
6,47,back prop,deep neural network,0.15956974029541016
6,83,back prop,hidden layer,0.13629326224327087
6,122,back prop,local minimum,0.1704750508069992
6,133,back prop,machine learning system,0.20537076890468597
6,139,back prop,matrix vector multiplication,0.1683056503534317
6,149,back prop,model complexity,0.1985287368297577
6,151,back prop,model selection,0.1375265121459961
6,168,back prop,optimal solution,0.14172211289405823
6,228,back prop,training data,0.16217362880706787
7,29,batch gradient descent,conditional distribution,0.1955283135175705
7,46,batch gradient descent,deep learning,0.1601104736328125
7,62,batch gradient descent,feature engineering,0.17506012320518494
7,67,batch gradient descent,feature vector,0.15300042927265167
7,82,batch gradient descent,greedy algorithm,0.19624647498130798
7,85,batch gradient descent,hierarchical clustering,0.15082797408103943
7,101,batch gradient descent,k nearest neighbors,0.1821553260087967
7,175,batch gradient descent,parameter estimation,0.1422242969274521
7,187,batch gradient descent,positive predictions,0.16636639833450317
7,222,batch gradient descent,svm optimization,0.19332069158554077
8,20,bayesian approach,classification error,0.16275621950626373
8,76,bayesian approach,global minimum,0.15548521280288696
8,102,bayesian approach,k-means objective,0.21456396579742432
8,103,bayesian approach,kernel function,0.19299423694610596
8,133,bayesian approach,machine learning system,0.16655021905899048
8,176,bayesian approach,parameter vector,0.1503053903579712
8,223,bayesian approach,svm packages,0.18899565935134888
8,233,bayesian approach,true positives,0.185465008020401
8,240,bayesian approach,vector multiplication,0.17188937962055206
9,12,bayesian inference,bias variance trade-off,0.14426389336585999
9,26,bayesian inference,features,0.1654926985502243
9,39,bayesian inference,cross validation sets,0.22216472029685974
9,64,bayesian inference,feature scaling,0.18077176809310913
9,80,bayesian inference,gradient checking,0.17612895369529724
9,81,bayesian inference,gradient descent,0.1722802221775055
9,129,bayesian inference,low rank matrix,0.14358489215373993
9,164,bayesian inference,normalized representation,0.1998826414346695
9,166,bayesian inference,ocr problem,0.16931089758872986
9,181,bayesian inference,polynomial features,0.25062647461891174
9,201,bayesian inference,regression function,0.13848434388637543
9,202,bayesian inference,regression model,0.1723162680864334
9,217,bayesian inference,stochastic gradient algorithm,0.17709501087665558
10,11,bias problem,bias unit,0.19219182431697845
10,32,bias problem,conjugate gradient,0.18606524169445038
10,34,bias problem,convex function,0.21114236116409302
10,49,bias problem,design matrix,0.16956506669521332
10,84,bias problem,hidden unit,0.2001653015613556
10,91,bias problem,image classification,0.16247466206550598
10,98,bias problem,iterative algorithm,0.16913501918315887
10,120,bias problem,linear model,0.2659960389137268
10,125,bias problem,log likelihood,0.18622209131717682
10,146,bias problem,minimization problem,0.24264883995056152
10,160,bias problem,non-anomalous examples,0.1611425131559372
10,166,bias problem,ocr problem,0.1616579294204712
10,186,bias problem,positive data,0.2018660604953766
11,14,bias unit,binary classification,0.26233839988708496
11,30,bias unit,conditional probabilities,0.1370948851108551
11,45,bias unit,deep features,0.2032230943441391
11,95,bias unit,input layer,0.2916506826877594
11,114,bias unit,learning system,0.15582247078418732
11,127,bias unit,logistic regression,0.16766609251499176
11,134,bias unit,massive training set,0.14843566715717316
11,143,bias unit,mean square error,0.20875531435012817
11,162,bias unit,normal equation,0.15016776323318481
